1.199999999999999956e+00,1.100000000000000089e+00,9.000000000000000222e-01,1.205626833415374799e+00,1.412757956508796653e+00,8.912088425397558522e-01
1.205626833415374799e+00,1.412757956508796653e+00,8.912088425397558522e-01,1.240539391613034503e+00,1.728019201290916573e+00,8.866867179847804925e-01
1.240539391613034503e+00,1.728019201290916573e+00,8.866867179847804925e-01,1.302557499288971687e+00,2.053289480797622968e+00,8.870502137553603061e-01
1.302557499288971687e+00,2.053289480797622968e+00,8.870502137553603061e-01,1.390394044053677725e+00,2.395520441267827483e+00,8.932335325497474665e-01
1.390394044053677725e+00,2.395520441267827483e+00,8.932335325497474665e-01,1.503527903333782723e+00,2.761323063669348432e+00,9.065111040737905412e-01
1.503527903333782723e+00,2.761323063669348432e+00,9.065111040737905412e-01,1.642107465101292574e+00,3.157144731739588206e+00,9.285475076856015697e-01
1.642107465101292574e+00,3.157144731739588206e+00,9.285475076856015697e-01,1.806878639028066003e+00,3.589415116822382235e+00,9.614734804552979019e-01
1.806878639028066003e+00,3.589415116822382235e+00,9.614734804552979019e-01,1.999132218516194603e+00,4.064663767718561971e+00,1.007989150339589690e+00
1.999132218516194603e+00,4.064663767718561971e+00,1.007989150339589690e+00,2.220666100696514267e+00,4.589609828571552086e+00,1.071497436533267678e+00
2.220666100696514267e+00,4.589609828571552086e+00,1.071497436533267678e+00,2.473758207057274561e+00,5.171221501844999402e+00,1.156271958261576360e+00
2.473758207057274561e+00,5.171221501844999402e+00,1.156271958261576360e+00,2.761145958898658215e+00,5.816739509798551921e+00,1.267664813538722068e+00
2.761145958898658215e+00,5.816739509798551921e+00,1.267664813538722068e+00,3.086007814801849936e+00,6.533654626164826063e+00,1.412360113770298131e+00
3.086007814801849936e+00,6.533654626164826063e+00,1.412360113770298131e+00,3.451941613925683328e+00,7.329624054192426463e+00,1.598678897521284226e+00
3.451941613925683328e+00,7.329624054192426463e+00,1.598678897521284226e+00,3.862933207943605396e+00,8.212304712569570952e+00,1.836939470454645118e+00
3.862933207943605396e+00,8.212304712569570952e+00,1.836939470454645118e+00,4.323307005106872047e+00,9.189073105435086930e+00,2.139873472787328534e+00
4.323307005106872047e+00,9.189073105435086930e+00,2.139873472787328534e+00,4.837647484748195836e+00,1.026659133077331099e+01,2.523090754728325447e+00
4.837647484748195836e+00,1.026659133077331099e+01,2.523090754728325447e+00,5.410677384367516218e+00,1.145016729164079372e+01,3.005573554071558906e+00
5.410677384367516218e+00,1.145016729164079372e+01,3.005573554071558906e+00,6.047074109951394050e+00,1.274284555524786278e+01,3.610159945729778386e+00
6.047074109951394050e+00,1.274284555524786278e+01,3.610159945729778386e+00,6.751201156606441600e+00,1.414415636917467545e+01,4.363944864794357947e+00
6.751201156606441600e+00,1.414415636917467545e+01,4.363944864794357947e+00,7.526726501519619639e+00,1.564844952520491184e+01,5.298480775533294995e+00
